♣J,♣9,♦2,♠6,♥6,(1) One pair
♣J,♣9,♠6,♠3,♥6,(1) One pair
♣J,♣9,♠6,♣4,♥6,(1) One pair
♣J,♣9,♠6,♣Q,♥6,(1) One pair
♣J,♦2,♠6,♠3,♥6,(1) One pair
♣J,♦2,♠6,♣4,♥6,(1) One pair
♣J,♦2,♠6,♣Q,♥6,(1) One pair
♣J,♠6,♠3,♣4,♥6,(1) One pair
♣J,♠6,♠3,♣Q,♥6,(1) One pair
♣J,♠6,♣4,♣Q,♥6,(1) One pair
♣9,♦2,♠6,♠3,♥6,(1) One pair
♣9,♦2,♠6,♣4,♥6,(1) One pair
♣9,♦2,♠6,♣Q,♥6,(1) One pair
♣9,♠6,♠3,♣4,♥6,(1) One pair
♣9,♠6,♠3,♣Q,♥6,(1) One pair
♣9,♠6,♣4,♣Q,♥6,(1) One pair
♦2,♠6,♠3,♣4,♥6,(1) One pair
♦2,♠6,♠3,♣Q,♥6,(1) One pair
♦2,♠6,♣4,♣Q,♥6,(1) One pair
♠6,♠3,♣4,♣Q,♥6,(1) One pair
