♥5,♥7,♦K,♦10,♠10,(1) One pair
♥5,♥7,♦10,♠10,♥4,(1) One pair
♥5,♥7,♦10,♠10,♠J,(1) One pair
♥5,♥7,♦10,♠10,♥A,(1) One pair
♥5,♥7,♦10,♠10,♦Q,(1) One pair
♥5,♥7,♦10,♠10,♠2,(1) One pair
♥5,♦K,♦10,♠10,♥4,(1) One pair
♥5,♦K,♦10,♠10,♠J,(1) One pair
♥5,♦K,♦10,♠10,♥A,(1) One pair
♥5,♦K,♦10,♠10,♦Q,(1) One pair
♥5,♦K,♦10,♠10,♠2,(1) One pair
♥5,♦10,♠10,♥4,♠J,(1) One pair
♥5,♦10,♠10,♥4,♥A,(1) One pair
♥5,♦10,♠10,♥4,♦Q,(1) One pair
♥5,♦10,♠10,♥4,♠2,(1) One pair
♥5,♦10,♠10,♠J,♥A,(1) One pair
♥5,♦10,♠10,♠J,♦Q,(1) One pair
♥5,♦10,♠10,♠J,♠2,(1) One pair
♥5,♦10,♠10,♥A,♦Q,(1) One pair
♥5,♦10,♠10,♥A,♠2,(1) One pair
♥5,♦10,♠10,♦Q,♠2,(1) One pair
♥7,♦K,♦10,♠10,♥4,(1) One pair
♥7,♦K,♦10,♠10,♠J,(1) One pair
♥7,♦K,♦10,♠10,♥A,(1) One pair
♥7,♦K,♦10,♠10,♦Q,(1) One pair
♥7,♦K,♦10,♠10,♠2,(1) One pair
♥7,♦10,♠10,♥4,♠J,(1) One pair
♥7,♦10,♠10,♥4,♥A,(1) One pair
♥7,♦10,♠10,♥4,♦Q,(1) One pair
♥7,♦10,♠10,♥4,♠2,(1) One pair
♥7,♦10,♠10,♠J,♥A,(1) One pair
♥7,♦10,♠10,♠J,♦Q,(1) One pair
♥7,♦10,♠10,♠J,♠2,(1) One pair
♥7,♦10,♠10,♥A,♦Q,(1) One pair
♥7,♦10,♠10,♥A,♠2,(1) One pair
♥7,♦10,♠10,♦Q,♠2,(1) One pair
♦K,♦10,♠10,♥4,♠J,(1) One pair
♦K,♦10,♠10,♥4,♥A,(1) One pair
♦K,♦10,♠10,♥4,♦Q,(1) One pair
♦K,♦10,♠10,♥4,♠2,(1) One pair
♦K,♦10,♠10,♠J,♥A,(1) One pair
♦K,♦10,♠10,♠J,♦Q,(1) One pair
♦K,♦10,♠10,♠J,♠2,(1) One pair
♦K,♦10,♠10,♥A,♦Q,(1) One pair
♦K,♦10,♠10,♥A,♠2,(1) One pair
♦K,♦10,♠10,♦Q,♠2,(1) One pair
♦10,♠10,♥4,♠J,♥A,(1) One pair
♦10,♠10,♥4,♠J,♦Q,(1) One pair
♦10,♠10,♥4,♠J,♠2,(1) One pair
♦10,♠10,♥4,♥A,♦Q,(1) One pair
♦10,♠10,♥4,♥A,♠2,(1) One pair
♦10,♠10,♥4,♦Q,♠2,(1) One pair
♦10,♠10,♠J,♥A,♦Q,(1) One pair
♦10,♠10,♠J,♥A,♠2,(1) One pair
♦10,♠10,♠J,♦Q,♠2,(1) One pair
♦10,♠10,♥A,♦Q,♠2,(1) One pair
♦K,♦10,♠J,♥A,♦Q,(4) Straight
♦K,♠10,♠J,♥A,♦Q,(4) Straight
