♥A,♣5,♣9,♣3,♦9,(1) One pair
♥J,♣3,♣7,♦3,♥10,(1) One pair
♣10,♥A,♠7,♥J,♥10,(1) One pair
♣10,♥A,♠7,♣5,♦7,(1) One pair
♣10,♥A,♠7,♣5,♣7,(1) One pair
♣10,♥A,♠7,♣5,♥10,(1) One pair
♣10,♥A,♠7,♣9,♦7,(1) One pair
♣10,♥A,♠7,♣9,♣7,(1) One pair
♣10,♥A,♠7,♣9,♥10,(1) One pair
♣10,♥A,♠7,♣9,♦9,(1) One pair
♣10,♥A,♠7,♣9,♠9,(1) One pair
♣10,♥A,♠7,♦7,♦K,(1) One pair
♣10,♥A,♠7,♦7,♣3,(1) One pair
♦3,♥10,♦9,♠9,♠6,(1) One pair
♣10,♥A,♠7,♦7,♥Q,(1) One pair
♣10,♥A,♠7,♦7,♦3,(1) One pair
♥Q,♥10,♦9,♠9,♠6,(1) One pair
♣10,♥A,♠7,♦7,♦9,(1) One pair
♣10,♥A,♠7,♦7,♠9,(1) One pair
♣10,♥A,♠7,♦7,♠6,(1) One pair
♣10,♥A,♠7,♦K,♣7,(1) One pair
♣10,♥A,♠7,♦K,♥10,(1) One pair
♣10,♥A,♠7,♣3,♣7,(1) One pair
♣10,♥A,♠7,♣3,♦3,(1) One pair
♣10,♥A,♠7,♣3,♥10,(1) One pair
♣10,♥A,♠7,♣7,♥Q,(1) One pair
♣10,♥A,♠7,♣7,♦3,(1) One pair
♥Q,♦3,♦9,♠9,♠6,(1) One pair
♣10,♥A,♠7,♣7,♦9,(1) One pair
♣10,♥A,♠7,♣7,♠9,(1) One pair
♣10,♥A,♠7,♣7,♠6,(1) One pair
♣10,♥A,♠7,♥Q,♥10,(1) One pair
♣10,♥A,♠7,♦3,♥10,(1) One pair
♣10,♥A,♠7,♥10,♦9,(1) One pair
♣10,♥A,♠7,♥10,♠9,(1) One pair
♣10,♥A,♠7,♥10,♠6,(1) One pair
♣10,♥A,♠7,♦9,♠9,(1) One pair
♣10,♥A,♥J,♣5,♥10,(1) One pair
♣10,♥A,♥J,♣9,♥10,(1) One pair
♣10,♥A,♥J,♣9,♦9,(1) One pair
♣10,♥A,♥J,♣9,♠9,(1) One pair
♣10,♥A,♥J,♦7,♣7,(1) One pair
♣10,♥A,♥J,♦7,♥10,(1) One pair
♥Q,♦3,♥10,♦9,♠9,(1) One pair
♣10,♥A,♥J,♦K,♥10,(1) One pair
♣10,♥A,♥J,♣3,♦3,(1) One pair
♣10,♥A,♥J,♣3,♥10,(1) One pair
♣10,♥A,♥J,♣7,♥10,(1) One pair
♣10,♥A,♥J,♥Q,♥10,(1) One pair
♣10,♥A,♥J,♦3,♥10,(1) One pair
♣10,♥A,♥J,♥10,♦9,(1) One pair
♣10,♥A,♥J,♥10,♠9,(1) One pair
♣10,♥A,♥J,♥10,♠6,(1) One pair
♣10,♥A,♥J,♦9,♠9,(1) One pair
♣10,♥A,♣5,♣9,♥10,(1) One pair
♣10,♥A,♣5,♣9,♦9,(1) One pair
♣10,♥A,♣5,♣9,♠9,(1) One pair
♣10,♥A,♣5,♦7,♣7,(1) One pair
♣10,♥A,♣5,♦7,♥10,(1) One pair
♣10,♥A,♣5,♦K,♥10,(1) One pair
♣10,♥A,♣5,♣3,♦3,(1) One pair
♣10,♥A,♣5,♣3,♥10,(1) One pair
♣10,♥A,♣5,♣7,♥10,(1) One pair
♣10,♥A,♣5,♥Q,♥10,(1) One pair
♣10,♥A,♣5,♦3,♥10,(1) One pair
♣10,♥A,♣5,♥10,♦9,(1) One pair
♣10,♥A,♣5,♥10,♠9,(1) One pair
♣10,♥A,♣5,♥10,♠6,(1) One pair
♣10,♥A,♣5,♦9,♠9,(1) One pair
♣10,♥A,♣9,♦7,♣7,(1) One pair
♣10,♥A,♣9,♦7,♥10,(1) One pair
♣10,♥A,♣9,♦7,♦9,(1) One pair
♣10,♥A,♣9,♦7,♠9,(1) One pair
♣10,♥A,♣9,♦K,♥10,(1) One pair
♣10,♥A,♣9,♦K,♦9,(1) One pair
♣10,♥A,♣9,♦K,♠9,(1) One pair
♣10,♥A,♣9,♣3,♦3,(1) One pair
♣10,♥A,♣9,♣3,♥10,(1) One pair
♣10,♥A,♣9,♣3,♦9,(1) One pair
♣10,♥A,♣9,♣3,♠9,(1) One pair
♣10,♥A,♣9,♣7,♥10,(1) One pair
♣10,♥A,♣9,♣7,♦9,(1) One pair
♣10,♥A,♣9,♣7,♠9,(1) One pair
♣10,♥A,♣9,♥Q,♥10,(1) One pair
♣10,♥A,♣9,♥Q,♦9,(1) One pair
♣10,♥A,♣9,♥Q,♠9,(1) One pair
♣10,♥A,♣9,♦3,♥10,(1) One pair
♣10,♥A,♣9,♦3,♦9,(1) One pair
♣10,♥A,♣9,♦3,♠9,(1) One pair
♣7,♥10,♦9,♠9,♠6,(1) One pair
♣7,♦3,♦9,♠9,♠6,(1) One pair
♣10,♥A,♣9,♥10,♠6,(1) One pair
♣7,♦3,♥10,♦9,♠9,(1) One pair
♣10,♥A,♣9,♦9,♠6,(1) One pair
♣10,♥A,♣9,♠9,♠6,(1) One pair
♣10,♥A,♦7,♦K,♣7,(1) One pair
♣10,♥A,♦7,♦K,♥10,(1) One pair
♣10,♥A,♦7,♣3,♣7,(1) One pair
♣10,♥A,♦7,♣3,♦3,(1) One pair
♣10,♥A,♦7,♣3,♥10,(1) One pair
♣10,♥A,♦7,♣7,♥Q,(1) One pair
♣10,♥A,♦7,♣7,♦3,(1) One pair
♣7,♥Q,♦9,♠9,♠6,(1) One pair
♣10,♥A,♦7,♣7,♦9,(1) One pair
♣10,♥A,♦7,♣7,♠9,(1) One pair
♣10,♥A,♦7,♣7,♠6,(1) One pair
♣10,♥A,♦7,♥Q,♥10,(1) One pair
♣10,♥A,♦7,♦3,♥10,(1) One pair
♣10,♥A,♦7,♥10,♦9,(1) One pair
♣10,♥A,♦7,♥10,♠9,(1) One pair
♣10,♥A,♦7,♥10,♠6,(1) One pair
♣10,♥A,♦7,♦9,♠9,(1) One pair
♣10,♥A,♦K,♣3,♦3,(1) One pair
♣10,♥A,♦K,♣3,♥10,(1) One pair
♣10,♥A,♦K,♣7,♥10,(1) One pair
♣10,♥A,♦K,♥Q,♥10,(1) One pair
♣10,♥A,♦K,♦3,♥10,(1) One pair
♣10,♥A,♦K,♥10,♦9,(1) One pair
♣10,♥A,♦K,♥10,♠9,(1) One pair
♣10,♥A,♦K,♥10,♠6,(1) One pair
♣10,♥A,♦K,♦9,♠9,(1) One pair
♣10,♥A,♣3,♣7,♦3,(1) One pair
♣10,♥A,♣3,♣7,♥10,(1) One pair
♣10,♥A,♣3,♥Q,♦3,(1) One pair
♣10,♥A,♣3,♥Q,♥10,(1) One pair
♣7,♥Q,♥10,♦9,♠9,(1) One pair
♣10,♥A,♣3,♦3,♦9,(1) One pair
♣10,♥A,♣3,♦3,♠9,(1) One pair
♣10,♥A,♣3,♦3,♠6,(1) One pair
♣10,♥A,♣3,♥10,♦9,(1) One pair
♣10,♥A,♣3,♥10,♠9,(1) One pair
♣10,♥A,♣3,♥10,♠6,(1) One pair
♣10,♥A,♣3,♦9,♠9,(1) One pair
♣10,♥A,♣7,♥Q,♥10,(1) One pair
♣10,♥A,♣7,♦3,♥10,(1) One pair
♣10,♥A,♣7,♥10,♦9,(1) One pair
♣10,♥A,♣7,♥10,♠9,(1) One pair
♣10,♥A,♣7,♥10,♠6,(1) One pair
♣10,♥A,♣7,♦9,♠9,(1) One pair
♣10,♥A,♥Q,♦3,♥10,(1) One pair
♣10,♥A,♥Q,♥10,♦9,(1) One pair
♣10,♥A,♥Q,♥10,♠9,(1) One pair
♣10,♥A,♥Q,♥10,♠6,(1) One pair
♣10,♥A,♥Q,♦9,♠9,(1) One pair
♣10,♥A,♦3,♥10,♦9,(1) One pair
♣10,♥A,♦3,♥10,♠9,(1) One pair
♣10,♥A,♦3,♥10,♠6,(1) One pair
♣10,♥A,♦3,♦9,♠9,(1) One pair
♣7,♥Q,♦3,♦9,♠9,(1) One pair
♣10,♥A,♥10,♦9,♠6,(1) One pair
♣10,♥A,♥10,♠9,♠6,(1) One pair
♣10,♥A,♦9,♠9,♠6,(1) One pair
♣10,♠7,♥J,♣5,♦7,(1) One pair
♣10,♠7,♥J,♣5,♣7,(1) One pair
♣10,♠7,♥J,♣5,♥10,(1) One pair
♣10,♠7,♥J,♣9,♦7,(1) One pair
♣10,♠7,♥J,♣9,♣7,(1) One pair
♣10,♠7,♥J,♣9,♥10,(1) One pair
♣10,♠7,♥J,♣9,♦9,(1) One pair
♣10,♠7,♥J,♣9,♠9,(1) One pair
♣10,♠7,♥J,♦7,♦K,(1) One pair
♣10,♠7,♥J,♦7,♣3,(1) One pair
♣3,♥10,♦9,♠9,♠6,(1) One pair
♣10,♠7,♥J,♦7,♥Q,(1) One pair
♣10,♠7,♥J,♦7,♦3,(1) One pair
♣3,♦3,♥10,♠9,♠6,(1) One pair
♣10,♠7,♥J,♦7,♦9,(1) One pair
♣10,♠7,♥J,♦7,♠9,(1) One pair
♣10,♠7,♥J,♦7,♠6,(1) One pair
♣10,♠7,♥J,♦K,♣7,(1) One pair
♣10,♠7,♥J,♦K,♥10,(1) One pair
♣10,♠7,♥J,♣3,♣7,(1) One pair
♣10,♠7,♥J,♣3,♦3,(1) One pair
♣10,♠7,♥J,♣3,♥10,(1) One pair
♣10,♠7,♥J,♣7,♥Q,(1) One pair
♣10,♠7,♥J,♣7,♦3,(1) One pair
♣3,♦3,♥10,♦9,♠6,(1) One pair
♣10,♠7,♥J,♣7,♦9,(1) One pair
♣10,♠7,♥J,♣7,♠9,(1) One pair
♣10,♠7,♥J,♣7,♠6,(1) One pair
♣10,♠7,♥J,♥Q,♥10,(1) One pair
♣10,♠7,♥J,♦3,♥10,(1) One pair
♣10,♠7,♥J,♥10,♦9,(1) One pair
♣10,♠7,♥J,♥10,♠9,(1) One pair
♣10,♠7,♥J,♥10,♠6,(1) One pair
♣10,♠7,♥J,♦9,♠9,(1) One pair
♣10,♠7,♣5,♣9,♦7,(1) One pair
♣10,♠7,♣5,♣9,♣7,(1) One pair
♣10,♠7,♣5,♣9,♥10,(1) One pair
♣10,♠7,♣5,♣9,♦9,(1) One pair
♣10,♠7,♣5,♣9,♠9,(1) One pair
♣10,♠7,♣5,♦7,♦K,(1) One pair
♣10,♠7,♣5,♦7,♣3,(1) One pair
♣3,♥Q,♦9,♠9,♠6,(1) One pair
♣10,♠7,♣5,♦7,♥Q,(1) One pair
♣10,♠7,♣5,♦7,♦3,(1) One pair
♣3,♥Q,♥10,♦9,♠9,(1) One pair
♣10,♠7,♣5,♦7,♦9,(1) One pair
♣10,♠7,♣5,♦7,♠9,(1) One pair
♣10,♠7,♣5,♦7,♠6,(1) One pair
♣10,♠7,♣5,♦K,♣7,(1) One pair
♣10,♠7,♣5,♦K,♥10,(1) One pair
♣10,♠7,♣5,♣3,♣7,(1) One pair
♣10,♠7,♣5,♣3,♦3,(1) One pair
♣10,♠7,♣5,♣3,♥10,(1) One pair
♣10,♠7,♣5,♣7,♥Q,(1) One pair
♣10,♠7,♣5,♣7,♦3,(1) One pair
♣3,♥Q,♦3,♠9,♠6,(1) One pair
♣10,♠7,♣5,♣7,♦9,(1) One pair
♣10,♠7,♣5,♣7,♠9,(1) One pair
♣10,♠7,♣5,♣7,♠6,(1) One pair
♣10,♠7,♣5,♥Q,♥10,(1) One pair
♣10,♠7,♣5,♦3,♥10,(1) One pair
♣10,♠7,♣5,♥10,♦9,(1) One pair
♣10,♠7,♣5,♥10,♠9,(1) One pair
♣10,♠7,♣5,♥10,♠6,(1) One pair
♣10,♠7,♣5,♦9,♠9,(1) One pair
♣10,♠7,♣9,♦7,♦K,(1) One pair
♣10,♠7,♣9,♦7,♣3,(1) One pair
♣3,♥Q,♦3,♦9,♠6,(1) One pair
♣10,♠7,♣9,♦7,♥Q,(1) One pair
♣10,♠7,♣9,♦7,♦3,(1) One pair
♣3,♥Q,♦3,♥10,♠6,(1) One pair
♣3,♥Q,♦3,♥10,♠9,(1) One pair
♣3,♥Q,♦3,♥10,♦9,(1) One pair
♣10,♠7,♣9,♦7,♠6,(1) One pair
♣10,♠7,♣9,♦K,♣7,(1) One pair
♣10,♠7,♣9,♦K,♥10,(1) One pair
♣10,♠7,♣9,♦K,♦9,(1) One pair
♣10,♠7,♣9,♦K,♠9,(1) One pair
♣10,♠7,♣9,♣3,♣7,(1) One pair
♣10,♠7,♣9,♣3,♦3,(1) One pair
♣10,♠7,♣9,♣3,♥10,(1) One pair
♣10,♠7,♣9,♣3,♦9,(1) One pair
♣10,♠7,♣9,♣3,♠9,(1) One pair
♣10,♠7,♣9,♣7,♥Q,(1) One pair
♣10,♠7,♣9,♣7,♦3,(1) One pair
♣3,♣7,♦9,♠9,♠6,(1) One pair
♣3,♣7,♥10,♦9,♠9,(1) One pair
♣3,♣7,♦3,♠9,♠6,(1) One pair
♣10,♠7,♣9,♣7,♠6,(1) One pair
♣10,♠7,♣9,♥Q,♥10,(1) One pair
♣10,♠7,♣9,♥Q,♦9,(1) One pair
♣10,♠7,♣9,♥Q,♠9,(1) One pair
♣10,♠7,♣9,♦3,♥10,(1) One pair
♣10,♠7,♣9,♦3,♦9,(1) One pair
♣10,♠7,♣9,♦3,♠9,(1) One pair
♣3,♣7,♦3,♦9,♠6,(1) One pair
♣3,♣7,♦3,♥10,♠6,(1) One pair
♣10,♠7,♣9,♥10,♠6,(1) One pair
♣3,♣7,♦3,♥10,♠9,(1) One pair
♣10,♠7,♣9,♦9,♠6,(1) One pair
♣10,♠7,♣9,♠9,♠6,(1) One pair
♣10,♠7,♦7,♦K,♣3,(1) One pair
♣3,♣7,♦3,♥10,♦9,(1) One pair
♣10,♠7,♦7,♦K,♥Q,(1) One pair
♣10,♠7,♦7,♦K,♦3,(1) One pair
♣3,♣7,♥Q,♦9,♠9,(1) One pair
♣10,♠7,♦7,♦K,♦9,(1) One pair
♣10,♠7,♦7,♦K,♠9,(1) One pair
♣10,♠7,♦7,♦K,♠6,(1) One pair
♣3,♣7,♥Q,♦3,♠6,(1) One pair
♣10,♠7,♦7,♣3,♥Q,(1) One pair
♣3,♣7,♥Q,♦3,♠9,(1) One pair
♣3,♣7,♥Q,♦3,♦9,(1) One pair
♣10,♠7,♦7,♣3,♦9,(1) One pair
♣10,♠7,♦7,♣3,♠9,(1) One pair
♣10,♠7,♦7,♣3,♠6,(1) One pair
♣3,♣7,♥Q,♦3,♥10,(1) One pair
♦K,♥10,♦9,♠9,♠6,(1) One pair
♦K,♦3,♦9,♠9,♠6,(1) One pair
♦K,♦3,♥10,♦9,♠9,(1) One pair
♦K,♥Q,♦9,♠9,♠6,(1) One pair
♦K,♥Q,♥10,♦9,♠9,(1) One pair
♣10,♠7,♦7,♥Q,♦3,(1) One pair
♦K,♥Q,♦3,♦9,♠9,(1) One pair
♣10,♠7,♦7,♥Q,♦9,(1) One pair
♣10,♠7,♦7,♥Q,♠9,(1) One pair
♣10,♠7,♦7,♥Q,♠6,(1) One pair
♦K,♣7,♦9,♠9,♠6,(1) One pair
♣10,♠7,♦7,♦3,♦9,(1) One pair
♣10,♠7,♦7,♦3,♠9,(1) One pair
