♥J,♣J,♠8,♦A,♠10,(1) One pair
♠3,♣4,♦A,♥3,♠2,(1) One pair
♦K,♥J,♠3,♠K,♠8,(1) One pair
♦K,♥J,♠3,♠K,♣4,(1) One pair
♦K,♥J,♠3,♠K,♠9,(1) One pair
♦K,♥J,♠3,♠K,♦A,(1) One pair
♣4,♥8,♠2,♥4,♠10,(1) One pair
♦K,♥J,♠3,♠K,♥8,(1) One pair
♦K,♥J,♠3,♠K,♠2,(1) One pair
♦K,♥J,♠3,♠K,♥4,(1) One pair
♦K,♥J,♠3,♠K,♠10,(1) One pair
♦K,♥J,♠3,♣J,♣8,(1) One pair
♦K,♥J,♠3,♣J,♠8,(1) One pair
♦K,♥J,♠3,♣J,♣4,(1) One pair
♦K,♥J,♠3,♣J,♠9,(1) One pair
♦K,♥J,♠3,♣J,♦A,(1) One pair
♣4,♥3,♠2,♥4,♠10,(1) One pair
♦K,♥J,♠3,♣J,♥8,(1) One pair
♦K,♥J,♠3,♣J,♠2,(1) One pair
♦K,♥J,♠3,♣J,♥4,(1) One pair
♣4,♥3,♥8,♥4,♠10,(1) One pair
♦K,♥J,♠3,♣8,♠8,(1) One pair
♦K,♥J,♠3,♣8,♥3,(1) One pair
♦K,♥J,♠3,♣8,♥8,(1) One pair
♦K,♥J,♠3,♠8,♥3,(1) One pair
♦K,♥J,♠3,♠8,♥8,(1) One pair
♦K,♥J,♠3,♣4,♥3,(1) One pair
♦K,♥J,♠3,♣4,♥4,(1) One pair
♦K,♥J,♠3,♠9,♥3,(1) One pair
♦K,♥J,♠3,♦A,♥3,(1) One pair
♦K,♥J,♠3,♥3,♥8,(1) One pair
♦K,♥J,♠3,♥3,♠2,(1) One pair
♦K,♥J,♠3,♥3,♥4,(1) One pair
♦K,♥J,♠3,♥3,♠10,(1) One pair
♣4,♥3,♥8,♠2,♥4,(1) One pair
♣4,♦A,♠2,♥4,♠10,(1) One pair
♣4,♦A,♥8,♥4,♠10,(1) One pair
♣4,♦A,♥8,♠2,♥4,(1) One pair
♣4,♦A,♥3,♥4,♠10,(1) One pair
♣4,♦A,♥3,♠2,♥4,(1) One pair
♣4,♦A,♥3,♥8,♥4,(1) One pair
♣4,♠9,♠2,♥4,♠10,(1) One pair
♣4,♠9,♥8,♥4,♠10,(1) One pair
♣4,♠9,♥8,♠2,♥4,(1) One pair
♣4,♠9,♥3,♥4,♠10,(1) One pair
♦K,♥J,♠K,♣8,♣4,(1) One pair
♦K,♥J,♠K,♣8,♠9,(1) One pair
♦K,♥J,♠K,♣8,♦A,(1) One pair
♦K,♥J,♠K,♣8,♥3,(1) One pair
♣4,♠9,♥3,♠2,♥4,(1) One pair
♦K,♥J,♠K,♣8,♠2,(1) One pair
♦K,♥J,♠K,♣8,♥4,(1) One pair
♦K,♥J,♠K,♣8,♠10,(1) One pair
♦K,♥J,♠K,♠8,♣4,(1) One pair
♦K,♥J,♠K,♠8,♠9,(1) One pair
♦K,♥J,♠K,♠8,♦A,(1) One pair
♦K,♥J,♠K,♠8,♥3,(1) One pair
♣4,♠9,♥3,♥8,♥4,(1) One pair
♦K,♥J,♠K,♠8,♠2,(1) One pair
♦K,♥J,♠K,♠8,♥4,(1) One pair
♦K,♥J,♠K,♠8,♠10,(1) One pair
♦K,♥J,♠K,♣4,♠9,(1) One pair
♦K,♥J,♠K,♣4,♦A,(1) One pair
♦K,♥J,♠K,♣4,♥3,(1) One pair
♦K,♥J,♠K,♣4,♥8,(1) One pair
♦K,♥J,♠K,♣4,♠2,(1) One pair
♣4,♠9,♦A,♥4,♠10,(1) One pair
♦K,♥J,♠K,♣4,♠10,(1) One pair
♦K,♥J,♠K,♠9,♦A,(1) One pair
♦K,♥J,♠K,♠9,♥3,(1) One pair
♦K,♥J,♠K,♠9,♥8,(1) One pair
♦K,♥J,♠K,♠9,♠2,(1) One pair
♦K,♥J,♠K,♠9,♥4,(1) One pair
♦K,♥J,♠K,♠9,♠10,(1) One pair
♦K,♥J,♠K,♦A,♥3,(1) One pair
♦K,♥J,♠K,♦A,♥8,(1) One pair
♦K,♥J,♠K,♦A,♠2,(1) One pair
♦K,♥J,♠K,♦A,♥4,(1) One pair
♦K,♥J,♠K,♦A,♠10,(1) One pair
♦K,♥J,♠K,♥3,♥8,(1) One pair
♦K,♥J,♠K,♥3,♠2,(1) One pair
♦K,♥J,♠K,♥3,♥4,(1) One pair
♦K,♥J,♠K,♥3,♠10,(1) One pair
♦K,♥J,♠K,♥8,♠2,(1) One pair
♦K,♥J,♠K,♥8,♥4,(1) One pair
♦K,♥J,♠K,♥8,♠10,(1) One pair
♦K,♥J,♠K,♠2,♥4,(1) One pair
♦K,♥J,♠K,♠2,♠10,(1) One pair
♦K,♥J,♠K,♥4,♠10,(1) One pair
♣4,♠9,♦A,♠2,♥4,(1) One pair
♦K,♥J,♣J,♣8,♣4,(1) One pair
♦K,♥J,♣J,♣8,♠9,(1) One pair
♦K,♥J,♣J,♣8,♦A,(1) One pair
♦K,♥J,♣J,♣8,♥3,(1) One pair
♣4,♠9,♦A,♥8,♥4,(1) One pair
♦K,♥J,♣J,♣8,♠2,(1) One pair
♦K,♥J,♣J,♣8,♥4,(1) One pair
♦K,♥J,♣J,♣8,♠10,(1) One pair
♦K,♥J,♣J,♠8,♣4,(1) One pair
♦K,♥J,♣J,♠8,♠9,(1) One pair
♦K,♥J,♣J,♠8,♦A,(1) One pair
♦K,♥J,♣J,♠8,♥3,(1) One pair
♣4,♠9,♦A,♥3,♥4,(1) One pair
♦K,♥J,♣J,♠8,♠2,(1) One pair
♦K,♥J,♣J,♠8,♥4,(1) One pair
♦K,♥J,♣J,♠8,♠10,(1) One pair
♦K,♥J,♣J,♣4,♠9,(1) One pair
♦K,♥J,♣J,♣4,♦A,(1) One pair
♦K,♥J,♣J,♣4,♥3,(1) One pair
♦K,♥J,♣J,♣4,♥8,(1) One pair
♦K,♥J,♣J,♣4,♠2,(1) One pair
♠8,♥8,♠2,♥4,♠10,(1) One pair
♦K,♥J,♣J,♣4,♠10,(1) One pair
♦K,♥J,♣J,♠9,♦A,(1) One pair
♦K,♥J,♣J,♠9,♥3,(1) One pair
♦K,♥J,♣J,♠9,♥8,(1) One pair
♦K,♥J,♣J,♠9,♠2,(1) One pair
♦K,♥J,♣J,♠9,♥4,(1) One pair
♦K,♥J,♣J,♠9,♠10,(1) One pair
♦K,♥J,♣J,♦A,♥3,(1) One pair
♦K,♥J,♣J,♦A,♥8,(1) One pair
♦K,♥J,♣J,♦A,♠2,(1) One pair
♦K,♥J,♣J,♦A,♥4,(1) One pair
♦K,♥J,♣J,♦A,♠10,(1) One pair
♦K,♥J,♣J,♥3,♥8,(1) One pair
♦K,♥J,♣J,♥3,♠2,(1) One pair
♦K,♥J,♣J,♥3,♥4,(1) One pair
♦K,♥J,♣J,♥3,♠10,(1) One pair
♦K,♥J,♣J,♥8,♠2,(1) One pair
♦K,♥J,♣J,♥8,♥4,(1) One pair
♦K,♥J,♣J,♥8,♠10,(1) One pair
♦K,♥J,♣J,♠2,♥4,(1) One pair
♦K,♥J,♣J,♠2,♠10,(1) One pair
♦K,♥J,♣J,♥4,♠10,(1) One pair
♦K,♥J,♣8,♠8,♣4,(1) One pair
♦K,♥J,♣8,♠8,♠9,(1) One pair
♦K,♥J,♣8,♠8,♦A,(1) One pair
♦K,♥J,♣8,♠8,♥3,(1) One pair
♠8,♥3,♥8,♥4,♠10,(1) One pair
♦K,♥J,♣8,♠8,♠2,(1) One pair
♦K,♥J,♣8,♠8,♥4,(1) One pair
♦K,♥J,♣8,♠8,♠10,(1) One pair
♦K,♥J,♣8,♣4,♥8,(1) One pair
♦K,♥J,♣8,♣4,♥4,(1) One pair
♦K,♥J,♣8,♠9,♥8,(1) One pair
♦K,♥J,♣8,♦A,♥8,(1) One pair
♦K,♥J,♣8,♥3,♥8,(1) One pair
♦K,♥J,♣8,♥8,♠2,(1) One pair
♦K,♥J,♣8,♥8,♥4,(1) One pair
♦K,♥J,♣8,♥8,♠10,(1) One pair
♦K,♥J,♠8,♣4,♥8,(1) One pair
♦K,♥J,♠8,♣4,♥4,(1) One pair
♦K,♥J,♠8,♠9,♥8,(1) One pair
♦K,♥J,♠8,♦A,♥8,(1) One pair
♦K,♥J,♠8,♥3,♥8,(1) One pair
♦K,♥J,♠8,♥8,♠2,(1) One pair
♦K,♥J,♠8,♥8,♥4,(1) One pair
♦K,♥J,♠8,♥8,♠10,(1) One pair
♦K,♥J,♣4,♠9,♥4,(1) One pair
♦K,♥J,♣4,♦A,♥4,(1) One pair
♦K,♥J,♣4,♥3,♥4,(1) One pair
♦K,♥J,♣4,♥8,♥4,(1) One pair
♦K,♥J,♣4,♠2,♥4,(1) One pair
♦K,♥J,♣4,♥4,♠10,(1) One pair
♦K,♠3,♠K,♣J,♣8,(1) One pair
♦K,♠3,♠K,♣J,♠8,(1) One pair
♦K,♠3,♠K,♣J,♣4,(1) One pair
♦K,♠3,♠K,♣J,♠9,(1) One pair
♦K,♠3,♠K,♣J,♦A,(1) One pair
♠8,♥3,♥8,♠2,♠10,(1) One pair
♦K,♠3,♠K,♣J,♥8,(1) One pair
♦K,♠3,♠K,♣J,♠2,(1) One pair
♦K,♠3,♠K,♣J,♥4,(1) One pair
♦K,♠3,♠K,♣J,♠10,(1) One pair
♠8,♥3,♥8,♠2,♥4,(1) One pair
♦K,♠3,♠K,♣8,♣4,(1) One pair
♦K,♠3,♠K,♣8,♠9,(1) One pair
♦K,♠3,♠K,♣8,♦A,(1) One pair
♠8,♦A,♥8,♥4,♠10,(1) One pair
♠8,♦A,♥8,♠2,♠10,(1) One pair
♦K,♠3,♠K,♣8,♠2,(1) One pair
♦K,♠3,♠K,♣8,♥4,(1) One pair
♦K,♠3,♠K,♣8,♠10,(1) One pair
♦K,♠3,♠K,♠8,♣4,(1) One pair
♦K,♠3,♠K,♠8,♠9,(1) One pair
♦K,♠3,♠K,♠8,♦A,(1) One pair
♠8,♦A,♥8,♠2,♥4,(1) One pair
♠8,♦A,♥3,♥8,♠10,(1) One pair
♦K,♠3,♠K,♠8,♠2,(1) One pair
♦K,♠3,♠K,♠8,♥4,(1) One pair
♦K,♠3,♠K,♠8,♠10,(1) One pair
♦K,♠3,♠K,♣4,♠9,(1) One pair
♦K,♠3,♠K,♣4,♦A,(1) One pair
♠8,♦A,♥3,♥8,♥4,(1) One pair
♦K,♠3,♠K,♣4,♥8,(1) One pair
♦K,♠3,♠K,♣4,♠2,(1) One pair
♠8,♦A,♥3,♥8,♠2,(1) One pair
♦K,♠3,♠K,♣4,♠10,(1) One pair
♦K,♠3,♠K,♠9,♦A,(1) One pair
♠8,♠9,♥8,♥4,♠10,(1) One pair
♦K,♠3,♠K,♠9,♥8,(1) One pair
♦K,♠3,♠K,♠9,♠2,(1) One pair
♦K,♠3,♠K,♠9,♥4,(1) One pair
♦K,♠3,♠K,♠9,♠10,(1) One pair
♠8,♠9,♥8,♠2,♠10,(1) One pair
♦K,♠3,♠K,♦A,♥8,(1) One pair
♦K,♠3,♠K,♦A,♠2,(1) One pair
♦K,♠3,♠K,♦A,♥4,(1) One pair
♦K,♠3,♠K,♦A,♠10,(1) One pair
♠8,♠9,♥8,♠2,♥4,(1) One pair
♠8,♠9,♥3,♥8,♠10,(1) One pair
♠8,♠9,♥3,♥8,♥4,(1) One pair
♠8,♠9,♥3,♥8,♠2,(1) One pair
♦K,♠3,♠K,♥8,♠2,(1) One pair
♦K,♠3,♠K,♥8,♥4,(1) One pair
♦K,♠3,♠K,♥8,♠10,(1) One pair
♦K,♠3,♠K,♠2,♥4,(1) One pair
♦K,♠3,♠K,♠2,♠10,(1) One pair
♦K,♠3,♠K,♥4,♠10,(1) One pair
♦K,♠3,♣J,♣8,♠8,(1) One pair
♦K,♠3,♣J,♣8,♥3,(1) One pair
♦K,♠3,♣J,♣8,♥8,(1) One pair
♦K,♠3,♣J,♠8,♥3,(1) One pair
♦K,♠3,♣J,♠8,♥8,(1) One pair
♦K,♠3,♣J,♣4,♥3,(1) One pair
♦K,♠3,♣J,♣4,♥4,(1) One pair
♦K,♠3,♣J,♠9,♥3,(1) One pair
♦K,♠3,♣J,♦A,♥3,(1) One pair
♦K,♠3,♣J,♥3,♥8,(1) One pair
♦K,♠3,♣J,♥3,♠2,(1) One pair
♦K,♠3,♣J,♥3,♥4,(1) One pair
♦K,♠3,♣J,♥3,♠10,(1) One pair
♦K,♠3,♣8,♠8,♣4,(1) One pair
♦K,♠3,♣8,♠8,♠9,(1) One pair
♦K,♠3,♣8,♠8,♦A,(1) One pair
♠8,♠9,♦A,♥8,♠10,(1) One pair
♠8,♠9,♦A,♥8,♥4,(1) One pair
♦K,♠3,♣8,♠8,♠2,(1) One pair
♦K,♠3,♣8,♠8,♥4,(1) One pair
♦K,♠3,♣8,♠8,♠10,(1) One pair
♦K,♠3,♣8,♣4,♥3,(1) One pair
♦K,♠3,♣8,♣4,♥8,(1) One pair
♦K,♠3,♣8,♣4,♥4,(1) One pair
♦K,♠3,♣8,♠9,♥3,(1) One pair
♦K,♠3,♣8,♠9,♥8,(1) One pair
♦K,♠3,♣8,♦A,♥3,(1) One pair
♦K,♠3,♣8,♦A,♥8,(1) One pair
♠8,♠9,♦A,♥8,♠2,(1) One pair
♦K,♠3,♣8,♥3,♠2,(1) One pair
♦K,♠3,♣8,♥3,♥4,(1) One pair
♦K,♠3,♣8,♥3,♠10,(1) One pair
♦K,♠3,♣8,♥8,♠2,(1) One pair
♦K,♠3,♣8,♥8,♥4,(1) One pair
♦K,♠3,♣8,♥8,♠10,(1) One pair
♦K,♠3,♠8,♣4,♥3,(1) One pair
♦K,♠3,♠8,♣4,♥8,(1) One pair
♦K,♠3,♠8,♣4,♥4,(1) One pair
♦K,♠3,♠8,♠9,♥3,(1) One pair
♦K,♠3,♠8,♠9,♥8,(1) One pair
♦K,♠3,♠8,♦A,♥3,(1) One pair
♦K,♠3,♠8,♦A,♥8,(1) One pair
♠8,♠9,♦A,♥3,♥8,(1) One pair
♦K,♠3,♠8,♥3,♠2,(1) One pair
♦K,♠3,♠8,♥3,♥4,(1) One pair
♦K,♠3,♠8,♥3,♠10,(1) One pair
♦K,♠3,♠8,♥8,♠2,(1) One pair
♦K,♠3,♠8,♥8,♥4,(1) One pair
♦K,♠3,♠8,♥8,♠10,(1) One pair
♦K,♠3,♣4,♠9,♥3,(1) One pair
♦K,♠3,♣4,♠9,♥4,(1) One pair
♦K,♠3,♣4,♦A,♥3,(1) One pair
♦K,♠3,♣4,♦A,♥4,(1) One pair
♦K,♠3,♣4,♥3,♥8,(1) One pair
♦K,♠3,♣4,♥3,♠2,(1) One pair
♠8,♣4,♠2,♥4,♠10,(1) One pair
♦K,♠3,♣4,♥3,♠10,(1) One pair
